"master_key","votes","party","raceID"
"n10001",870,"R",124
"n10001",287,"D",124
"n10002",1104.886926312,"R",124
"n10002",320.933882373,"D",124
"n10003",564.380897261,"R",124
"n10003",171.595597937,"D",124
"n10004",535.747809856,"R",124
"n10004",180.914838776,"D",124
"n10005",150.999998037,"R",124
"n10005",26.999999649,"D",124
"n10006",358.39739591,"R",124
"n10006",350.47701147,"D",124
"n10007",180.265266338,"R",124
"n10007",451.161136194,"D",124
"n10008",41.999997396,"R",124
"n10008",77.999995164,"D",124
"n10009",441.416906718,"R",124
"n10009",187.328168088,"D",124
"n10010",241.592347413,"R",124
"n10010",127.258520448,"D",124
"n10011",519.9999922,"R",124
"n10011",223.99999664,"D",124
"n10013",820.592516982,"R",124
"n10013",314.089488457,"D",124
"n10015",364.69936076,"R",124
"n10015",97.581720852,"D",124
"n10016",331.999959828,"R",124
"n10016",141.999982818,"D",124
"n10017",366.166332912,"R",124
"n10017",147.262546932,"D",124
"n10018",911,"R",124
"n10018",344,"D",124
"n10019",977.500572888,"R",124
"n10019",371.960559362,"D",124
"n10020",635.585571276,"R",124
"n10020",221.761943872,"D",124
"n10021",793.62916118,"R",124
"n10021",211.485717471,"D",124
"n10022",477.999963194,"R",124
"n10022",151.999988296,"D",124
"n10023",466.995667174,"R",124
"n10023",174.99837635,"D",124
"n10024",323,"R",124
"n10024",76,"D",124
"n1010101",154,"R",124
"n1010101",63,"D",124
"n1010201",142,"R",124
"n1010201",58,"D",124
"n1010301",143,"R",124
"n1010301",49,"D",124
"n1010401",110,"R",124
"n1010401",44,"D",124
"n1030001",479,"R",124
"n1030001",50,"D",124
"n1030002",328,"R",124
"n1030002",53,"D",124
"n1030003",252,"R",124
"n1030003",93,"D",124
"n1030004",255,"R",124
"n1030004",58,"D",124
"n1050001",276,"R",124
"n1050001",162,"D",124
"n1050002",379,"R",124
"n1050002",94,"D",124
"n1050003",419,"R",124
"n1050003",69,"D",124
"n1050004",174,"R",124
"n1050004",148,"D",124
"n1070011",314.999920305,"R",124
"n1070011",136.999965339,"D",124
"n1070027",476,"R",124
"n1070027",152,"D",124
"n1070039",346.999719277,"R",124
"n1070039",153.999875414,"D",124
"n1070044",508.998418537,"R",124
"n1070044",178.999443847,"D",124
"n1090001",83,"R",124
"n1090001",116,"D",124
"n1090002",102,"R",124
"n1090002",76,"D",124
"n1090004",75,"R",124
"n1090004",85,"D",124
"n10903-3",23,"R",124
"n10903-3",17,"D",124
"n10903-5",125,"R",124
"n10903-5",80,"D",124
"n110101",199,"R",124
"n110101",40,"D",124
"n110201",121,"R",124
"n110201",43,"D",124
"n110202",73,"R",124
"n110202",13,"D",124
"n110301",166,"R",124
"n110301",35,"D",124
"n110303",39,"R",124
"n110303",7,"D",124
"n110401",108,"R",124
"n110401",8,"D",124
"n110402",98,"R",124
"n110402",24,"D",124
"n110404",22,"R",124
"n110404",0,"D",124
"n1110001",237,"R",124
"n1110001",24,"D",124
"n1110002",63,"R",124
"n1110002",5,"D",124
"n1110003",26,"R",124
"n1110003",1,"D",124
"n1110004",36,"R",124
"n1110004",2,"D",124
"n1110005",36,"R",124
"n1110005",5,"D",124
"n1110006",168.279225658,"R",124
"n1110006",43.045279397,"D",124
"n1110007",250.842657216,"R",124
"n1110007",76.676603675,"D",124
"n1110008",573.978671622,"R",124
"n1110008",126.541203818,"D",124
"n1110009",79.00782663,"R",124
"n1110009",21.160001714,"D",124
"n1131004",761,"R",124
"n1131004",442,"D",124
"n1131006",1022,"R",124
"n1131006",350,"D",124
"n1131007",266,"R",124
"n1131007",66,"D",124
"n1131039",209,"R",124
"n1131039",111,"D",124
"n1131040",670.352556126,"R",124
"n1131040",1042.992650664,"D",124
"n1131041",82.996155606,"R",124
"n1131041",273.987308868,"D",124
"n1131043",993.99982605,"R",124
"n1131043",517.99990935,"D",124
"n1131044",1354.166813266,"R",124
"n1131044",814.322916794,"D",124
"n1131045",294.9999823,"R",124
"n1131045",651.99996088,"D",124
"n1131046",98,"R",124
"n1131046",67,"D",124
"n1131047",385.930245554,"R",124
"n1131047",343.937835416,"D",124
"n1131048",1180.996317642,"R",124
"n1131048",628.998038778,"D",124
"n1131049",567.88282356,"R",124
"n1131049",399.197199895,"D",124
"n1131050",46,"R",124
"n1131050",46,"D",124
"n1131051",104.16340074,"R",124
"n1131051",99.2032388,"D",124
"n1131052",1089.582068484,"R",124
"n1131052",1010.756992101,"D",124
"n1131054",357,"R",124
"n1131054",410,"D",124
"n1131055",166,"R",124
"n1131055",174,"D",124
"n1131056",345,"R",124
"n1131056",255,"D",124
"n1131057",528.73138895,"R",124
"n1131057",484.2586553,"D",124
"n1131058",611,"R",124
"n1131058",518,"D",124
"n1131059",517.999923854,"R",124
"n1131059",427.999937084,"D",124
"n1131060",1451.99992014,"R",124
"n1131060",1249.99993125,"D",124
"n1131061",498,"R",124
"n1131061",466,"D",124
"n1131062",8.059337891,"R",124
"n1131062",7.32667081,"D",124
"n1131063",429.923307723,"R",124
"n1131063",408.763771325,"D",124
"n1131064",27.690473361,"R",124
"n1131064",68.748761448,"D",124
"n1131065",353.667669888,"R",124
"n1131065",687.460584484,"D",124
"n1131067",1,"R",124
"n1131067",3,"D",124
"n1131068",37,"R",124
"n1131068",14,"D",124
"n1131076",24.17773491,"R",124
"n1131076",50.28062904,"D",124
"n1131077",0,"R",124
"n1131077",0,"D",124
"n1131078",86.857727682,"R",124
"n1131078",272.553559278,"D",124
"n1131079",457.999717414,"R",124
"n1131079",616.999619311,"D",124
"n1131080",81,"R",124
"n1131080",345,"D",124
"n1131081",883.088385864,"R",124
"n1131081",949.717802365,"D",124
"n1131082",24.275510325,"R",124
"n1131082",56.642857425,"D",124
"n1131083",267.781457616,"R",124
"n1131083",396.749733159,"D",124
"n1131084",574.591600778,"R",124
"n1131084",1269.047068482,"D",124
"n1131085",205.634841049,"R",124
"n1131085",304.024717149,"D",124
"n1131086",76.997073846,"R",124
"n1131086",213.991867572,"D",124
"n1131087",292,"R",124
"n1131087",1464,"D",124
"n1131088",285.90977415,"R",124
"n1131088",501.84163155,"D",124
"n1131089",146.933189529,"R",124
"n1131089",598.727758693,"D",124
"n1131090",277.458385779,"R",124
"n1131090",732.927707237,"D",124
"n1131091",303.35745666,"R",124
"n1131091",741.982500552,"D",124
"n1131092",239.99985096,"R",124
"n1131092",1170.999272809,"D",124
"n1131093",139,"R",124
"n1131093",711,"D",124
"n1131094",104,"R",124
"n1131094",575,"D",124
"n1131095",161,"R",124
"n1131095",525,"D",124
"n1131096",186,"R",124
"n1131096",377,"D",124
"n1131097",397.849327869,"R",124
"n1131097",827.377524936,"D",124
"n1131098",186,"R",124
"n1131098",889,"D",124
"n1131099",7,"R",124
"n1131099",10,"D",124
"n1131100",155.998074648,"R",124
"n1131100",1165.985609228,"D",124
"n1131101",170.923479552,"R",124
"n1131101",421.811160064,"D",124
"n1131102",266.999984514,"R",124
"n1131102",432.999974886,"D",124
"n1131103",63,"R",124
"n1131103",140,"D",124
"n1131104",212.999908197,"R",124
"n1131104",926.999600463,"D",124
