master_key,pop_above_25,adv_degree,median_income,density
n1890103,227.265396,21.32545768,6314.660711,2040.624278
n1890104,320.0379832,26.23597497,8274.850276,1459.877609
n1890110,944.6451389,161.8343746,19704.7756,5.841814226
n1890111,1842.242653,160.6437533,36989.3891,10.99171981
n1890202,369.7543733,24.57742985,7838.548829,336.1477927
n1890203,407.8738582,40.99903205,8685.078469,1221.892474
n1890205,268.2816216,18.95780195,5669.646637,1132.979573
n1890206,80.71826235,5.703860076,1705.83442,1476.909592
n1890406,1442.977589,196.7305465,29767.60379,345.8688348
n2190021,3669.315226,647.5820761,105404.3244,15.02763586
n2190032,1813.712328,204.816667,38911.73285,13.04831091
n2190036,139.6938319,9.771629795,2257.766865,1337.616798
n2190045,1205.827104,208.2507988,30723.25214,362.9994283
n2190011,121.0252924,27.49751274,3177.862674,1080.087272
n2190016,2300.709084,462.7668394,61498.54851,24.96717588
n2190035,188.2497901,32.44260927,4792.069574,459.8419605
n2190043,611.9901423,95.21205837,27136.92724,1.727186853
n2190044,676.421549,81.1605224,42401.72752,7.518870563
n2190046,371.4873799,66.48725932,11992.9206,5.111272291
n2790008,3046.117215,404.2418488,82773.52891,6.494458158
n3030102,1034.814272,276.5879349,32841.36439,5.224406933
n2190014,621.9059205,125.7405413,56518.6741,4.832648191
n2190015,403.397159,78.90062892,29217.32976,4.637254094
n3030120,3930.808201,1012.704149,277865.0872,45.07425858
n3050004,454.0532702,140.6925626,28938.9679,3.100401765
n4450202,203.3745274,28.70633739,13416.18775,2.370994415
n170004B,368.5215469,70.43076665,17229.2503,0.389788012
n790101,212.9165664,20.54789839,7045.912165,2.493215209
n790202,545.5270018,52.64707011,18052.77723,0.983884886
n2190024,886.4365121,166.8174972,48722.99019,4.358740161
n2190033,544.8286846,98.55336014,17051.87378,0.634944626
n2790009,1035.870444,141.4120082,33090.18056,4.515819167
n3030031,2329.338179,778.6777612,129323.1667,44.01061062
n3030046,2095.982524,489.6045007,93189.92929,62.65377345
n3030151,1096.673823,344.1332399,50144.90963,21.82014862
n4450301,1069.220867,78.70227274,47673.00462,3.983069574
n650201,971.019169,307.875023,37086.81191,2.78600264
n650302,480.1681324,152.2439289,18339.39614,2.149964256
n3410201,2035.472317,394.6401851,70652.99973,3.099170772
n3410203,9.251332842,2.398036825,325.4103717,21.42724841
n3410301,2980.19068,335.5705194,78389.06638,10.78700578
n3590101,189.2535691,45.11528342,12981.81467,0.483517483
n3590202,97.10722583,23.14894264,6661.052742,0.771948626
n3590203,98.87853527,23.57119691,6782.555424,0.706895619
n3750321,643.9384438,159.1892438,16234.90901,11.32128943
n3750322,450.2736515,111.3130031,11352.25243,1.286214514
n3750323,4748.107203,929.5001403,140203.8299,6.350166256
n3750324,4714.382187,1758.323918,178627.9913,55.18428275
n3750326,3040.39233,358.6042215,97245.07796,178.0416036
n3750327,8229.20002,604.634565,201886.663,12.76265588
n3810208,2730.988377,1134.968388,75112.06944,11.53387334
n650301,1127.278497,357.2853633,43078.77228,1.528177087
n3750421,2563.619523,153.6247378,43363.28,1283.986554
n3750424,2773.039926,204.719566,80126.46258,332.3184926
n3750425,4004.258284,222.2106273,50090.38653,1112.975496
n3750121,1729.301922,488.5809944,88046.23521,544.935213
n3750422,5421.23805,461.8778849,176641.1214,658.3320608
n3750126,3797.796095,585.8020427,82394.14426,1760.762955
n3750325,3214.934392,749.6236782,115119.3318,1419.495542
n3750122,1804.764746,550.2151948,71406.13828,1286.840902
n3750124,2823.712446,1018.036075,129448.3896,1443.576803
n4530232,2723.493333,2279.901008,279725.8139,616.4655121
n4530270,5139.339697,3828.007068,195719.6105,214.5268033
n4530290,3207.219526,2753.040699,329152.5726,453.4444708
n4530291,734.2103315,610.7889876,63279.04753,463.0620622
n4530322,3037.30908,2603.252917,388145.7657,314.1042104
n4530323,3151.603057,2468.212248,239108.9137,262.7858534
n4530324,1497.084635,1070.668048,91858.46049,662.5996156
n4530326,2335.827555,1971.622276,298961.8542,307.2267932
n1134053,2681.539966,592.8965407,56739.46469,191.2005862
n1134059,193.9731753,27.95675685,3954.233556,2216.288934
n1134060,4063.514744,265.7667698,62605.6351,611.7845221
n1134091,2117.477378,146.1408445,47158.81244,2.362406018
n1134512,1650.376889,127.3032174,48088.20359,2270.913803
n1134515,3037.812679,118.2196005,66746.45467,1854.083458
n1134516,555.5411037,52.92630149,10908.55478,165.5519596
n1134527,4251.963591,261.7332534,132803.0983,259.9327136
n1134533,1652.637159,256.5745073,43515.67626,1359.377289
n1134554,9.593673444,0.509316672,219.3950975,3159.307268
n1131056,1129.000004,254.9999967,97356.99664,2190.884426
n1131068,137.9091397,20.99021875,2164.411936,1578.461586
n1131121,3663.798763,353.8344365,69244.81192,2582.024286
n1131125,3438.619159,486.4864607,57398.56564,2242.49179
n1131300,3685.075779,526.1616319,59986.58271,2675.619842
n1131301,3366.484933,471.4008367,95963.81211,2722.139319
n1131302,3178.472652,592.513459,63764.36786,1330.754623
n1131719,2713.547259,397.8529525,99733.68317,3005.131488
n1131045,2417.448702,465.2949437,44662.87168,7236.510344
n1131046,467.0725049,208.6746199,22494.06417,1468.008508
n1131047,3206.045291,1321.563374,97025.17694,1375.12702
n1131055,1995.809244,174.2906975,31954.15369,1752.648066
n1131172,3642.638396,1127.380123,121983.7323,1773.580885
n1131730,102.5938496,24.5620896,1736.499866,0
n1131731,171.1207141,38.97391178,2772.545412,0
n1132048,6762.090799,3749.322749,150096.354,3473.942676
n1132052,1463.521716,882.5030014,139152.6812,773.5630893
n1132054,4443.430123,1645.500312,165939.2287,8913.717244
n1132079,2791.526684,1325.41075,76551.30059,11082.71851
n1132904,2102.524424,1265.89272,47406.80929,43.40668845
n1132905,1380.549776,680.2621135,54375.4555,687.0449672
n1132041,4314.922039,2781.830331,270416.8875,1399.055248
n1132042,2775.904276,1971.033167,187238.6171,1615.981974
n1132049,1762.668966,995.6835019,48980.3439,2281.759652
n1132801,3053.400092,1878.821918,154556.4901,1370.022749
n1132802,1633.30757,1177.462032,65758.13682,1633.024046
n1132805,4821.303776,3428.914161,243201.3444,1725.20304
n1132806,1479.134984,1067.84555,75508.85572,2536.184279
n1132808,1974.134468,1575.32568,108268.1704,1438.974371
n1132807,1338.461659,988.44344,70393.62458,1628.486775
n1132911,382.4322321,280.1493414,21131.41191,2948.660892
n1213123,6439.456909,3148.510798,224968.1905,1670.056618
n1213124,268.5260087,126.3651794,7781.356374,1247.982269
n1133100,3702.696229,968.2040595,120832.1294,385.4509416
n1133102,3062.533364,533.6149343,79411.43329,1700.078948
n1133103,3792.495629,1005.868282,131743.6663,1117.656271
n1133105,2770.987048,974.0731593,110684.265,689.1642351
n1133106,2576.677064,714.6876462,72254.92146,689.3457461
n1133107,1720.017023,393.0085433,54295.94039,1092.527645
n1133108,2707.44415,749.003594,62723.65601,204.3191637
n1133109,2414.496552,1280.394445,229311.0321,237.1870634
n1133110,2139.569595,607.1321507,69708.86919,1818.221435
n1133609,3590.596869,1018.067386,112196.1304,1064.316336
n1133614,934.2695912,224.741438,23782.4142,1864.052631
n1133615,2890.453037,572.6625401,124012.337,1203.482984
n1133616,381.3694878,155.8331612,8864.19941,977.2148006
n1133617,1607.550437,415.429108,42784.47434,2075.645206
n1133619,1153.216366,303.396932,31041.35715,750.4574358
n1133808,5874.353038,1639.588078,123922.1839,151.2888447
n1133900,3813.455691,808.1457996,108934.7855,939.7109142
n1133951,1625.87131,664.3548617,37790.2462,856.2925366
n1133101,1546.184175,631.7935313,35938.07232,203.5919571
n1133607,3487.963884,1102.601487,111252.1922,1040.843217
n1133608,2118.118889,773.3608472,54875.12667,1736.332617
n1133618,560.8457013,229.1697794,13035.77782,411.3303966
n1133952,180.729363,73.84866869,4200.705839,409.5492009
n1391054,1790.205268,598.6527634,36397.68225,729.9092159
n1391055,3005.375132,1098.673107,78369.80465,285.5104445
n1131743,3579.748511,695.7611037,79593.07224,1690.161736
n1133501,734.1195113,399.5030952,39366.32971,1.906870909
n1133504,1016.086968,552.9479686,54486.51626,90.83031904
n1133702,3761.66759,622.5862469,105344.2781,0
n397002C,4382.157942,2477.085312,255275.4739,89.21480312
n1131738,1022.070288,166.4604192,26555.90833,2144.150143
n1131742,6152.99997,1584.999991,160286.9997,1293.97071
n1133970,4931.20238,1616.421277,185810.7867,490.6922648
n1133971,1633.797611,452.5787237,60551.21302,1800.31987
