master_key,DIST
n10001,n10
n10002,n10
n10003,n10
n10004,n10
n10005,n10
n10006,n10
n10007,n10
n10008,n10
n10009,n10
n10010,n10
n10011,n10
n10013,n10
n10015,n10
n10016,n10
n10017,n10
n10018,n10
n10019,n10
n10020,n10
n10021,n10
n10022,n10
n10023,n10
n10024,n10
n30001,n15
n30002,n15
n30003,n15
n30004,n15
n50001,n9
n50002,n9
n50003,n9
n50004,n9
n50005,n9
n50006,n9
n50007,n9
n50008,n9
n50009,n9
n50010A,n9
n50010B,n9
n50011,n9
n50012,n9
n50013,n9
n50014,n9
n50015,n9
n50016,n9
n50017,n9
n50018,n9
n50019,n9
n50020,n9
n50021,n9
n50022,n9
n50023,n9
n50024,n9
n50025,n9
n50026,n9
n50027,n9
n50028,n9
n50029,n9
n50030,n9
n50031,n9
n50032,n9
n50033,n9
n50034,n9
n50035,n9
n50037,n9
n50038,n9
n50039,n9
n50040,n9
n5011B,n9
n5017B,n9
n70001,n2
n70002,n2
n70003,n2
n70004,n2
n7001A,n2
n90001,n15
n90002,n15
n90003,n15
n90004,n15
n90005,n15
n90006,n15
n90007,n15
n90008,n15
n90009,n15
n90010,n15
n90011,n15
n90012,n15
n90013,n15
n110101,n15
n110201,n15
n110202,n15
n110301,n15
n110303,n15
n110401,n15
n110402,n15
n110404,n15
n130001,n1
n130003,n1
n130004,n1
n130005,n1
n130006,n1
n130007,n1
n130008,n1
n130009,n1
n130010,n1
n130011,n1
n130012,n1
n130013,n1
n130014,n1
n130015,n1
n130017,n1
n130018,n1
n130019,n1
n130020,n1
n130021,n1
n130022,n1
n150101,n10
n150102,n10
n150103,n10
n150104,n10
n150205,n10
n150206,n10
n150207,n10
n150309,n10
n150310,n10
n150311,n10
n150412,n10
n150413,n10
n150414,n10
n150415,n10
n170001,n15
n170002,n15
n170003,n15
n170004A,n15
n170004B,n15
n190101,n1
n190102,n1
n190203,n1
n190204,n1
n190305,n1
n190306,n1
n190407,n1
n190408,n1
n190409,n1
n190410,n1
n211001,n5
n211002,n5
n211003,n5
n211004,n5
n211005,n5
n211006,n5
n211007,n5
n211008,n5
n211009,n5
n212010,n5
n212011,n5
n212012,n5
n212013,n5
n212014,n5
n212015,n5
n212016,n5
n213017,n5
n213018,n5
n213019,n5
n213020,n5
n214021,n5
n214022,n5
n214023,n5
n214024,n5
n214025,n5
n214026,n5
n230001,n15
n230002,n15
n230003,n15
n230004,n15
n250001,n3
n250002,n3
n250003,n3
n250004,n3
n250005,n3
n250006,n3
n250009,n3
n250010,n3
n250013,n3
n250016,n3
n250017,n3
n250018,n3
n250019,n3
n270101,n10
n270102,n10
n270103,n10
n270104,n10
