master_key,DIST
n10001,n8
n10002,n8
n10003,n8
n10004,n8
n10005,n8
n10006,n8
n10007,n8
n10008,n8
n10009,n8
n10010,n8
n10011,n8
n10013,n8
n10015,n8
n10016,n8
n10017,n8
n10018,n8
n10019,n8
n10020,n8
n10021,n8
n10022,n8
n10023,n8
n10024,n8
n30001,n88
n30002,n88
n30003,n88
n30004,n88
n50001,n9
n50002,n9
n50003,n9
n50004,n9
n50005,n9
n50006,n9
n50007,n9
n50008,n9
n50009,n9
n50010A,n9
n50010B,n9
n50011,n9
n50012,n9
n50013,n9
n50014,n9
n50015,n9
n50016,n9
n50017,n9
n50018,n9
n50019,n9
n50020,n9
n50021,n9
n50022,n9
n50023,n9
n50024,n9
n50025,n9
n50026,n9
n50027,n9
n50028,n9
n50029,n9
n50030,n9
n50031,n9
n50032,n9
n50033,n9
n50034,n9
n50035,n9
n50037,n9
n50038,n9
n50039,n9
n50040,n9
n5011B,n9
n5017B,n9
n70001,n32
n70002,n32
n70003,n32
n70004,n32
n7001A,n32
n90001,n69
n90002,n69
n90003,n69
n90004,n69
n90005,n69
n90006,n69
n90007,n69
n90008,n69
n90009,n69
n90010,n69
n90011,n69
n90012,n69
n90013,n69
n110101,n86
n110201,n86
n110202,n86
n110301,n86
n110303,n86
n110401,n86
n110402,n86
n110404,n86
n130001,n80
n130003,n80
n130004,n80
n130005,n80
n130006,n80
n130007,n80
n130008,n80
n130009,n80
n130010,n80
n130011,n80
n130012,n80
n130013,n80
n130014,n80
n130015,n80
n130017,n80
n130018,n80
n130019,n80
n130020,n80
n130021,n80
n130022,n80
n150101,n85
n150102,n85
n150103,n85
n150104,n85
n150205,n85
n150206,n85
n150207,n85
n150309,n85
n150310,n85
n150311,n85
n150412,n85
n150413,n85
n150414,n85
n150415,n85
n170001,n88
n170002,n88
n170003,n88
n170004A,n88
n170004B,n88
n190101,n53
n190102,n53
n190203,n53
n190204,n53
n190305,n53
n190306,n53
n190407,n53
n190408,n53
n190409,n53
n190410,n53
n211001,n17
n211002,n17
n211003,n17
n211004,n17
n211005,n17
n211006,n17
n211007,n17
n211008,n17
n211009,n17
n212010,n17
n212011,n17
n212012,n17
n212013,n17
n212014,n17
n212015,n17
n212016,n17
n213017,n17
n213018,n17
n213019,n17
n213020,n17
n214021,n17
n214022,n17
n214023,n17
n214024,n17
n214025,n17
n214026,n17
n230001,n69
n230002,n69
n230003,n69
n230004,n69
n250001,n43
n250002,n43
n250003,n43
n250004,n43
n250005,n43
n250006,n43
n250009,n43
n250010,n43
n250013,n43
n250016,n43
n250017,n43
n250018,n43
n250019,n43
n270101,n55
n270102,n55
n270103,n55
n270104,n54
n270105,n54
n270106,n54
n270107,n54
n270108,n54
n270109,n54
n270110,n54
n270111,n55
n270113,n55
n270114,n55
n270115,n54
n270116,n55
n270117,n54
n270201,n55
n270202,n55
n270203,n54
n270204,n54
n270205,n54
n270206,n54
