master_key,DIST
n10001,n20
n10002,n20
n10003,n20
n10004,n20
n10005,n20
n10006,n20
n10007,n20
n10008,n20
n10009,n20
n10010,n20
n10011,n20
n10013,n20
n10015,n20
n10016,n20
n10017,n20
n10018,n20
n10019,n20
n10020,n20
n10021,n20
n10022,n20
n10023,n20
n10024,n20
n30001,n28
n30002,n28
n30003,n28
n30004,n28
n50001,n20
n50002,n20
n50003,n20
n50004,n20
n50005,n20
n50006,n20
n50007,n20
n50008,n20
n50009,n20
n50010A,n20
n50010B,n20
n50011,n20
n50012,n20
n50013,n20
n50014,n20
n50015,n20
n50016,n20
n50017,n20
n50018,n20
n50019,n20
n50020,n20
n50021,n20
n50022,n20
n50023,n20
n50024,n20
n50025,n20
n50026,n20
n50027,n20
n50028,n20
n50029,n20
n50030,n20
n50031,n20
n50032,n20
n50033,n20
n50034,n20
n50035,n20
n50037,n20
n50038,n20
n50039,n20
n50040,n20
n5011B,n20
n5017B,n20
n70001,n29
n70002,n29
n70003,n29
n70004,n29
n7001A,n29
n90001,n4
n90002,n4
n90003,n4
n90004,n4
n90005,n4
n90006,n4
n90007,n4
n90008,n4
n90009,n4
n90010,n4
n90011,n4
n90012,n4
n90013,n4
n110101,n23
n110201,n23
n110202,n23
n110301,n23
n110303,n23
n110401,n23
n110402,n23
n110404,n23
n130001,n22
n130003,n22
n130004,n22
n130005,n22
n130006,n22
n130007,n22
n130008,n22
n130009,n22
n130010,n22
n130011,n22
n130012,n22
n130013,n22
n130014,n22
n130015,n22
n130017,n22
n130018,n22
n130019,n22
n130020,n22
n130021,n22
n130022,n22
n150101,n29
n150102,n29
n150103,n29
n150104,n29
n150205,n29
n150206,n29
n150207,n29
n150309,n29
n150310,n29
n150311,n29
n150412,n29
n150413,n29
n150414,n29
n150415,n29
n170001,n32
n170002,n32
n170003,n32
n170004A,n32
n170004B,n32
n190101,n8
n190102,n8
n190203,n8
n190204,n8
n190305,n8
n190306,n8
n190407,n8
n190408,n8
n190409,n8
n190410,n8
n211001,n18
n211002,n18
n211003,n18
n211004,n18
n211005,n18
n211006,n18
n211007,n18
n211008,n18
n211009,n18
n212010,n18
n212011,n18
n212012,n18
n212013,n18
n212014,n18
n212015,n18
n212016,n18
n213017,n18
n213018,n18
n213019,n18
n213020,n18
n214021,n18
n214022,n18
n214023,n18
n214024,n18
n214025,n18
n214026,n18
n230001,n4
n230002,n4
n230003,n4
n230004,n4
n250001,n22
n250002,n22
n250003,n22
n250004,n22
n250005,n22
n250006,n22
n250009,n22
n250010,n22
n250013,n22
n250016,n22
n250017,n22
n250018,n22
n250019,n22
n270101,n24
n270102,n24
n270103,n24
n270104,n24
n270105,n24
n270106,n24
n270107,n24
n270108,n24
n270109,n24
n270110,n24
n270111,n24
n270113,n24
n270114,n24
n270115,n24
n270116,n24
n270117,n24
n270201,n24
n270202,n24
n270203,n24
n270204,n24
n270205,n24
n270206,n24
n270207,n24
n270208,n24
n270209,n24
n270210,n24
n270211,n24
n270212,n24
n270213,n24
n270214,n24
n270215,n24
n270216,n24
n270301,n24
n270302,n24
