"master_key","cntyvtd","county"
"n292109","292109","Bexar"
"n294043","294043","Bexar"
"n390073","390073","Brazoria"
"n650101","650101","Carson"
"n850221","850221","Collin"
"n1134606","1134606","Dallas"
"n4850304","4850304","Wichita"
"n2150211","2150211","Hidalgo"
"n2450067","2450067","Jefferson"
"n2890003","2890003","Leon"
"n3210008","3210008","Matagorda"
"n4510201","4510201","Tom Green"
"n4550007","4550007","Trinity"
"n1133077","1133077","Dallas"
"n1131724","1131724","Dallas"
"n2010218","2010218","Harris"
"n2010881","2010881","Harris"
"n2010550","2010550","Harris"
"n2090112","2090112","Hays"
"n410018","410018","Brazos"
"n670021","670021","Cass"
"n850244","850244","Collin"
"n1134629","1134629","Dallas"
"n11330A4","11330A4","Dallas"
"n1131747","1131747","Dallas"
"n2010195","2010195","Harris"
"n2030025","2030025","Harrison"
"n2150188","2150188","Hidalgo"
"n2450044","2450044","Jefferson"
"n4890002","4890002","Willacy"
"n1330001","1330001","Eastland"
"n1410218","1410218","El Paso"
"n1573168","1573168","Fort Bend"
"n1870125","1870125","Guadalupe"
"n2010527","2010527","Harris"
"n2010858","2010858","Harris"
"n190409","190409","Bandera"
"n292064","292064","Bexar"
"n293202","293202","Bexar"
"n390027","390027","Brazoria"
"n2490004","2490004","Jim Wells"
"n2930303","2930303","Limestone"
"n3270004A","3270004A","Menard"
"n3550022","3550022","Nueces"
"n3810227","3810227","Randall"
"n4270004","4270004","Starr"
"n4394141","4394141","Tarrant"
"n4392310","4392310","Tarrant"
"n214022","214022","Bastrop"
"n294020","294020","Bexar"
"n292086","292086","Bexar"
"n390050","390050","Brazoria"
"n610083","610083","Cameron"
"n850198","850198","Collin"
"n3530008","3530008","Nolan"
"n3770004","3770004","Presidio"
"n4230057","4230057","Smith"
"n2010904","2010904","Harris"
"n2090218","2090218","Hays"
"n2150234","2150234","Hidalgo"
"n2450090","2450090","Jefferson"
"n2910018","2910018","Liberty"
"n323003B","323003B","Maverick"
"n294206","294206","Bexar"
"n291103","291103","Bexar"
"n850052","850052","Collin"
"n850058","850058","Collin"
"n1132300","1132300","Dallas"
"n1212091","1212091","Denton"
"n4910399","4910399","Williamson"
"n2592060","2592060","Kendall"
"n3390033","3390033","Montgomery"
"n38719-4","38719-4","Red River"
"n4010111","4010111","Rusk"
"n4392474","4392474","Tarrant"
"n4530275","4530275","Travis"
"n1510010B","1510010B","Fisher"
"n1572114","1572114","Fort Bend"
"n2010712","2010712","Harris"
"n2010049","2010049","Harris"
"n2150048","2150048","Hidalgo"
"n2150042","2150042","Hidalgo"
"n294189","294189","Bexar"
"n291080","291080","Bexar"
"n292041","292041","Bexar"
"n294183","294183","Bexar"
"n850035","850035","Collin"
"n1132144","1132144","Dallas"
"n4530246","4530246","Travis"
"n4710103","4710103","Walker"
"n3290208","3290208","Midland"
"n3390053","3390053","Montgomery"
"n3830003B","3830003B","Reagan"
"n4030001","4030001","Sabine"
"n4392402","4392402","Tarrant"
"n4393192","4393192","Tarrant"
"n1212068","1212068","Denton"
"n2010072","2010072","Harris"
"n2010735","2010735","Harris"
"n2150065","2150065","Hidalgo"
"n2610006","2610006","Kenedy"
"n2630401","2630401","Kent"
"n291057","291057","Bexar"
"n1132020","1132020","Dallas"
"n1134660","1134660","Dallas"
"n1213137","1213137","Denton"
"n1430046","1430046","Erath"
"n1573107","1573107","Fort Bend"
"n4393322","4393322","Tarrant"
"n4530433","4530433","Travis"
"n4690015","4690015","Victoria"
"n4930206","4930206","Wilson"
"n2010835","2010835","Harris"
"n2010172","2010172","Harris"
"n2010004","2010004","Harris"
"n3390075","3390075","Montgomery"
"n4070005","4070005","San Jacinto"
"n4394178","4394178","Tarrant"
"n1132408","1132408","Dallas"
"n1170003","1170003","Deaf Smith"
"n1212114","1212114","Denton"
"n1470011","1470011","Fannin"
"n1573044","1573044","Fort Bend"
"n2010027","2010027","Harris"
"n4530464","4530464","Travis"
"n467003A","467003A","Van Zandt"
"n4910434","4910434","Williamson"
"n2010689","2010689","Harris"
"n2010149","2010149","Harris"
"n4230071","4230071","Smith"
"n4394110","4394110","Tarrant"
"n4393385","4393385","Tarrant"
"n4530320","4530320","Travis"
"n250013","250013","Bee"
"n291017","291017","Bexar"
"n292103","292103","Bexar"
"n1133000","1133000","Dallas"
"n1134116","1134116","Dallas"
"n1270005","1270005","Dimmit"
"n4510112","4510112","Tom Green"
"n3410202","3410202","Moore"
"n3510014","3510014","Newton"
"n3670140","3670140","Parker"
"n4394048","4394048","Tarrant"
"n4392171","4392171","Tarrant"
"n4393447","4393447","Tarrant"
"n1410203","1410203","El Paso"
"n1574066","1574066","Fort Bend"
"n1870213","1870213","Guadalupe"
"n2010295","2010295","Harris"
"n2010627","2010627","Harris"
"n321001B","321001B","Matagorda"
"n294060","294060","Bexar"
"n410012","410012","Brazos"
"n850121","850121","Collin"
"n1131109","1131109","Dallas"
"n1213154","1213154","Denton"
"n1410097","1410097","El Paso"
"n3730010","3730010","Polk"
"n4190002","4190002","Shelby"
"n4230017","4230017","Smith"
"n4391625","4391625","Tarrant"
"n4570004","4570004","Tyler"
"n4870001A","4870001A","Wilbarger"
"n1670225","1670225","Galveston"
"n1990006","1990006","Hardin"
"n2010981","2010981","Harris"
"n213002M","213002M","Henderson"
"n2450050","2450050","Jefferson"
"n2870101","2870101","Lee"
"n270310","270310","Bell"
"n291063","291063","Bexar"
"n292149","292149","Bexar"
"n350010","350010","Bosque"
