"office","name","party","year"
"Agriculture Commissioner","Combs","R",2002
"Agriculture Commissioner","Ramsay","D",2002
"Attorney General","Abbott","R",2002
"Attorney General","Watson","D",2002
"Court of Criminal Appeals Seat 1","Cochran","R",2002
"Court of Criminal Appeals Seat 1","Molina","D",2002
"Court of Criminal Appeals Seat 2","Montgomery","D",2002
"Court of Criminal Appeals Seat 2","Womack","R",2002
"Court of Criminal Appeals Seat 3","Bull","D",2002
"Court of Criminal Appeals Seat 3","Price","R",2002
"Comptroller","Akins","D",2002
"Comptroller","Rylander","R",2002
"Governor","Perry","R",2002
"Governor","Sanchez","D",2002
"Land Commissioner","Bernsen","D",2002
"Land Commissioner","Patterson","R",2002
"Lieutenant Governor","Dewhurst","R",2002
"Lieutenant Governor","Sharp","D",2002
"Railroad Commissioner 3","Boyles","D",2002
"Railroad Commissioner 3","Williams","R",2002
"State Board of Education District 9","McLeroy","R",2002
"State Board of Education District 9","Woodard","D",2002
"State Representative District 8","Cook","R",2002
"State Representative District 8","Robinson","D",2002
"Supreme Court Seat 1","Parsons","D",2002
"Supreme Court Seat 1","Wainwright","R",2002
"Supreme Court Seat 2","Schneider","R",2002
"Supreme Court Seat 2","Yanez","D",2002
"Supreme Court Seat 4","Mirabal","D",2002
"Supreme Court Seat 4","Smith","R",2002
"Supreme Court Seat 8","Jefferson","R",2002
"Supreme Court Seat 8","Moody","D",2002
"Supreme Court Chief Justice","Baker","D",2002
"Supreme Court Chief Justice","Phillips","R",2002
"US Representative District 5","Chapman","D",2002
"US Representative District 5","Hensarling","R",2002
"US Senator","Cornyn","R",2002
"US Senator","Kirk","D",2002
"State Board of Education District 15","Craig","R",2002
"State Board of Education District 15","Schaeffer","D",2002
"State Representative District 68","Counts","D",2002
"State Representative District 68","Hardcastle","R",2002
"US Representative District 13","Reese","D",2002
"US Representative District 13","Thornberry","R",2002
"State Board of Education District 1","Munoz","R",2002
"State Board of Education District 1","Nunez","D",2002
"US Representative District 23","Bonilla","R",2002
"US Representative District 23","Cuellar","D",2002
"State Representative District 85","Laney","D",2002
